S/n,Date created,Studio type,Company Name,Company location,State/City,Founding Year,Founder(s) Background (Briefly),"#FTEs 
40,27/Aug/2025,Company,IceBear,VN,Ha Noi,2018,"  - Direction: Focusing on casual and hyper-casual mobile games
  - Notable Product: 
   + Dinosaur Merge: Block Fighting (>5M Downloads)
   + Draw It Story - Draw Puzzle (>50M Downloads): Puzzle
   + Satisday ASMR: Organizing game (>10M Downloads): Puzzle",>50,Draw It Story - Draw Puzzle,,,,,
41,27/Aug/2025,N/A,Little Rabbit Games,VN,Ho Chi Minh,2018,"  - Direction: Focusing on casual and hyper-casual games for iOS
  - Notable Product: 
   + Vacuum Hero: Hyper-casual
   + Magic Ball Idle: Idle game with space theme
   + Paint Roller: Color Race: Hyper-casual",N/A,Vacuum Hero,,,,,
42,27/Aug/2025,N/A,MegaJoy Studio,VN,Ha Noi,N/A,"Founder: Hoang Doanh
  - Direction: Focusing on casual mobile games, mainly puzzle.
  - Notable Product: 
   + Brain Fever: Puzzle Game (>1M Downloads)
   + Star Girl: Love Story (>10M Downloads): Puzzle Game
   + Role Swap: Tricky Puzzle (>10M Downloads)",N/A,Star Girl: Love Story,,,,,
43,27/Aug/2025,Company,MGIF,VN,Ho Chi Minh,~2018,"Founder: Thanh Nhan https://www.linkedin.com/in/nhan-thanh-4a121659/
  - Direction: Focusing on their only RPG title
  - Notable Product: 
   + Heroes Legend: Idle Battle War (>1M Downloads): RPG
   + Red and Blue: Twin Color Ball (>100K Downloads): Puzzle Game",<50,Heroes Legend: Idle Battle War,,,,,
44,27/Aug/2025,Company,Mirai Studio,VN,Ha Noi,2023,"They separated from IceTea Labs after two years of operation and officially became independent in 2023. They are an outsourcing company for mobile, PC, and Web3 games, while also publishing third-party titles.

Company Linkedin: https://www.linkedin.com/company/mirai-studio/

  - Direction: Focusing on casual mobile games
  - Notable Product: 
   + Home Rush (>10M Downloads): Puzzle Game
   + Bad Student: School Prank (>100K Downloads): Simulator",~50 - 200,Home Rush,,,,,
45,27/Aug/2025,N/A,MoPa Game Studio,VN,Ho Chi Minh,2022,"Founder: Thang Phan (Co-founder) - used to work as Tech Lead for Amanotes for 4 years then went out to start his own studio https://www.linkedin.com/in/thang-phan-496818b9/?originalSubdomain=vn
  - Direction: Focusing on casual mobile games, mainly .io games.
  - Notable Product: 
   + Sky Battle.io (>10K Downloads)
   + SDragon.IO (>10K Downloads)
   + Hero.IO - Super Punch (>100K Downloads)",N/A,Hero.IO - Super Punch,,,,,
46,27/Aug/2025,Indie,Skrollcat Studio,SG,Singapore,2019,"Five people founded a studio while studying and working in Singapore. The Director and   Art Director are Vietnamese.

  - Founders:
   + Director: Cao Son Tung (currently working as 3D Artist at NUS, previously game artist / level designer at NTU)
   + Art Director: Son Tra
Their interview: https://www.youtube.com/watch?v=TVmjM3b4MBo

  - Notable Product: Hoa (2D Platformer game with Ghibli Artstyle, co-developed with Kyx Studio in VN, selling 200k copies, winning 3 Webby Awards in 2022)

  - Even though HOA has been relatively successful, it seems to be just a side hustle of the founder, Son Tung as he's still spending most of his time working his full-time job rather than developing the studio after the first success.",5,Hoa,,,,,
47,27/Aug/2025,N/A,Net's Game,VN,Ha Noi,2022,"Founder: Khanh .Nguyen Bao
  - Direction: Focused on casual mobile games with various genres.
  - Notable Product: 
   + Monster Rescue: Treasure Hunt (>50K Downloads): 2D Platformer
   + Fruit & Food: Puzzle Saga (>5K Downloads): Match-3 game
   + WOF: World of Fighters (>1K Downloads): Slide Scrolling Action game",N/A,Monster Rescue: Treasure Hunt,,,,,
48,28/Aug/2025,Company,Zitga,VN,Ha Noi,2015,"Founder: Tung Luong - used to be the CEO but now has delegated and working on Eagle Games (studio focusing on mobile Idle games) and Empire Edu (an EdTech start-up)

Current CEO: Harris Hieu Bui (used to worked in MKT and UA at SohaGame (top publisher in VN) and Amanotes - a big studio in VN too)

  - Direction: Focused on midcore mobile games, mainly Action RPGs.
  - Notable Product: 
   + Stickman Legends (>50M Downloads): Slide Scrolling Action
   + Empire Warriors: Tower Defense (>10M Downloads)
   + Shadow War: Idle RPG Survival (>1M Downloads): Idle RPG",~100,Stickman Legends,,,,,
49,28/Aug/2025,Company,Percas Studio,VN,Ha Noi,2020,"Founder: Long Nguyễn Minh
  - Direction: Focused on casual mobile games, mainly Puzzle, although their most successful game is Tower Defense gerne.
  - Notable Product: 
   + Stick Conquer (>10M Downloads): Strategy Tower Defense
   + Bird Story: ASMR Bird Sort (>100K Downloads): Puzzle",<50,Stick War,,,,,
50,28/Aug/2025,Company,Skylink Studio,VN,Ho Chi Minh,2021,"Co-founder: Vinh Dang Tuan (used to work at VNG studio) & Nam Vo (used to work at Gameloft)
  - Direction: Focused on casual mobile games, mainly Puzzle
  - Notable Product: 
   + Toy Triple - 3D Match Puzzle (>500K Downloads): Puzzle Match-3
   + Merge Master - Elden Warrior (>1M Downloads)
   + Tile Animal: Triple Puzzle (>100K Downloads)",>100,,,,,,
51,28/Aug/2025,Indie,Smulie,VN,Ho Chi Minh,2021,"Founder: Thuan Tran (founded another company named OneP Studio building Unity dev tool for games; used to work as Tech Head at Amanotes)
  - Direction: They use games for music education.
  - Notable Product: 
   + Simpia: Learn Piano Fast (>1M Downloads): Music game that can be used to learn piano
   + Tap The Beat Duel (>100K Downloads): Rhythm game
   + Monster All Stars Battle (>10K Downloads): Rhythm game",10 - 25,Simpia: Learn Piano Fast,,,,,
52,28/Aug/2025,Company,Sugame,VN,Ha Noi,2016,"Founder: Truong Ngoc Duy
 
 - Direction: Focused on puzzle mobile games.
  - Notable Product: 
   + Blockpuz (>10M Downloads): Puzzle Block
   + Tap Away 3D: Tap Master (>1M Downloads): Puzzle
   + Water Sorting: Color Games (>10M Downloads): Puzzle",~50,Blockpuz,,,,,
53,28/Aug/2025,Company,Sun Studio,VN,Ho Chi Minh,2018,"  - Direction: Focused on puzzle games for web.
  - Notable Product: 
   + Bubble Fall: Bubble Shooter (> 5K Download on GPS)
   + Dinosaurs Merge Master: Auto Battle (H5 game on crazygames.com)
   + Sweet Cookie: Match-3",>70,Bubble Fall: Bubble Shooter,,,,,
54,28/Aug/2025,Company,SuperGame,VN,Ha Noi,2018,"Founder: Chế Đình Sơn
  - Direction: Focused on casual mobile games.
  - Notable Product: 
   + Hero Rescue (>50M Downloads): Puzzle
   + Stick Clash (>10M Downloads): Strategy
BAZOOKA GAME STUDIO and SUPERGAME have both worked on some games (based on the websites of both studios):
   + How to Loot - Pin Pull
   + Stick Clash
   + Brain Up",>80,Hero Rescue,,,,,
55,28/Aug/2025,Company,The Minders Studio,VN,Ha Noi,2021,"Founder: Minh Nguyen Hoang (used to work for Gear as Game Engineer)
  - Direction: Focused on casual & hyper-casual mobile games.
  - Notable Product: 
   + Idle Universe: Planet Miner (>100K Downloads): Idle Simulation with space theme
   + Sort Frenzy: Rescue Bus Jam 3D (>1K Downloads): Puzzle
   + Backpack Combat: Bag Fight (>1K Downloads): Action & Management",>40,Idle Universe: Planet Miner,,,,,
56,28/Aug/2025,Company,Titan Global,VN,Ha Noi,2021,"Founder: Nhat Nguyen (used to work at Zitga as game designer for almost 2 years before founding his own studio)
  - Direction: Focused on puzzle mobile games.
  - Notable Product: 
   + Color Water Sort Wooden Puzzle (>50M Downloads)
   + Bloom Tile: Match Puzzle Game (>1M Downloads)
   + Block Puzzle: Block Smash Game (>10M Downloads): Puzzle",~50,Color Water Sort,,,,,
57,28/Aug/2025,Indie,VIGAFUN,VN,Ha Noi,2020,"Founder: Robert Nguyen
 
 - Direction: Focused on casual & hyper-casual mobile games.
  - Notable Product: 
   + Grow Animals (>10M Downloads): Simulation
   + Jam Highway - Comeback Home (>1M Downloads)
   + Art Assemble: Home Makeover (>10M Downloads): Simulation",~30,Grow Animals,,,,,
58,28/Aug/2025,Company,WEE GROUP,VN,Ho Chi Minh,After 2017,"Founded in 2017, they are a technology corporation with multiple subsidiary companies specializing in games.

WEJOY GAMES STUDIO
Founder: Michael Ngo
  - Direction: Focused on casual & hyper-casual mobile games. Their main customer base is primarily in the US, India, China, and several European countries.

Apus Game Studio
Founder: Nam Tran
  - Direction: Focused on casual & hyper-casual mobile games, mainly simulation.
  - Notable Product: 
   + Undead City Ark Gun Idle
   + Duck Hunt 3D - Craftsman","~30 (WEJOY GAMES STUDIO)

20 - 50 (Apus Game Studio)",,,,,,
59,28/Aug/2025,Company,WIDOGAME,VN,Ha Noi,2020,"CEO: Peter Nguyen (used to work for Onesoft as Marketing Manager and PM for 12 years; also founded Commandoo - a game publishing startup)
  - Direction: Focused on casual & hyper-casual mobile games.
  - Notable Product: 
   + Pixel by Number (>10M Downloads): Coloring Game
   + Snow Race 3D™: Fun Racing (>10M Downloads): Hyper-casual
   + Draw 2 Bridge: Draw Save Car (>5M Downloads): Puzzle",~50,Pixel by Number,,,,,
60,28/Aug/2025,Company,Wolffun Game,VN,Ho Chi Minh,2014,"Founder: Nguyen Dinh Khanh
  - Direction: Focused on casual & midcore games.
  - Notable Product: 
   + Thetan Immortal - PvP Archer (>100K Downloads): Action
   + Thetan Creator: Create & Play (>50K Downloads): Avatar Creation & Drawing Game",>50,Thetan Immortal - PvP Archer,,,,,
61,28/Aug/2025,Indie,Yogame Studio,VN,Ha Noi,2016,"Founder: Chu Hung (used to work for 8 years and reached the level of IS Director at Topica - a once top EdTech platform in VN)
Invested and partnered by Amanotes
  - Direction: Focused on music mobile games.
  - Notable Product: 
   + Duet Tiles (>10M Downloads)
   + Duet Cats (>10M Downloads)
   + Dancing Sky 3 (>10M Downloads)",~30,Duet Tiles,,,,,
62,28/Aug/2025,Company,EZ Games,VN,Ho Chi Minh,2020,"Founder: Robert Vu (used to work as Head of Publishing at Amanotes)
Member of Google Vietnam Gaming Growth Lab
  - Direction: Focused on casual mobile games, mainly Fitness and Sports genre.
  - Notable Product: 
   + Idle Workout Master: MMA hero (>10M Downloads)
   + Pixel Basketball (>10K Downloads): Sports",>50,Idle Workout Master: MMA hero,,,,,
63,3/Sep/2025,Company,SKYNET,VN,Ha Noi,2012,"  - Direction: Focused on casual mobile games
  - Notable Product: 
   + Hero Survival IO (>1M Downloads): Roguelite
   + Water Puzzle: Cocktail Sort (iOS only): Sort Puzzle",>30,Hero Survival IO,,,,,
64,3/Sep/2025,Company,Gametamin,VN,Da Nang,2016,"  - Direction: Focused on casual mobile games, mainly puzzle
  - Notable Product: 
   + Traffic Jam Cars Puzzle Match3 (>500K Downloads)
   + Traffic Jam 3D Car Parking >1K only): Sort Puzzle",<50,Traffic Jam Cars Puzzle Match3,,,,,
65,3/Sep/2025,Indie,Smart Game Studio,VN,Da Nang,2018,"  - Direction: Focused on hyper-casual mobile games
  - Notable Product: 
   + Beat Master! (#1 in 53 countries)
   + Screw Factory (#5 in 18 countries)",~10,Beat Master!,,,,,
66,3/Sep/2025,Company,BonBonGame,VN,Ha Noi,2016,"Company Linkedin site
  - Direction: They focus on mobile games targeted at kids
  - Notable Product: 
   + Cars drawings: Learn to draw (>5M Downloads)
   + Cars for kids - Car builder (>10M Downloads)
   + 123 Number & Counting Games (>10M Downloads)",>50,Cars for kids - Car builder,,,,,
67,3/Sep/2025,Indie,Cloegames Studio,VN,Ho Chi Minh,2019,"  - Direction: Focused on casual mobile games, they both develop their own products and outsource projects for partners.
  - Notable Product: 
   + Guess Words: Animal Rescue
   + Coke Tapper Retro
   + Hexa Tile Go",~10,Hexa Tile Go,,,,,
68,3/Sep/2025,Indie,Darkcup Games,VN,Ho Chi Minh,2022,"Founder: Duc Huy Huynh
  - Direction: They outsource games, mainly casual games.
  - Notable Product: 
   + Coming Home: Escape Alien (>1K Downloads): Puzzle
   + Color The Flag: Paint Puzzle (>50K Downloads)
   + Survival Bunny (>10K Downloads): Roguelite & Bullet Hell",~10,Color The Flag: Paint Puzzle,,,,,
69,5/Sep/2025,Indie,Hexpion Studio,VN,Ho Chi Minh,2021,"Founder: Finn Lin (Lam Quang Linh)
  - Direction: Focused on RPG games for mobile and PC
  - Notable Product: 
   + Claw Quest (>500 Downloads): Claw-style RPG
   + Ancient Gods (Steam): Roguelite Card RPG",N/A,Ancient Gods,"Claw Quest (Early Access):
- Platform: Android
- Gerne: RPG
- Downloads: >500
- Status: Active (Last Updated: 20/08/2025)",,,,
70,5/Sep/2025,Company,Panthera Studio,VN,Ha Noi,2022,"Founder: Kien Vuong
  - Direction: Focused on RPG games for mobile
  - Notable Product: 
   + Box Head: Roguelike (>10M Downloads): Roguelite RPG
   + Soul Huntress: Offline Games (>100K Downloads): Action RPG
   + Elysia: The Astral Fall (>10K Downloads): Gacha RPG",>30,Box Head: Roguelike,,,,,
71,5/Sep/2025,Company,LacBird Entertainment.,VN,Ha Noi,2017,"A subsidiary of LacBird Corp.
  - Direction: Focused on games featuring Vietnamese culture, mainly for educational purposes.
  - Notable Product: 
   + Intedify: Educational game (TBA)
   + Tale of Exorcists (On Steam): Action",>50,,"Tale of Exorcists
- Gerne: Action
- Theme: Historical
- Status: TBA
- Steam: https://store.steampowered.com/app/3208960/Tale_of_Exorcists/",,,,
72,5/Sep/2025,Indie,DreamChaser,VN,Quang Ngai,2024,"Founder: Trần Tuấn Hiệp & Phạm Duy Phúc
   - Notable Product: DreamChaser - Chạy Trốn Phồn Hoa (>50K Downloads): Endless Runner",2,DreamChaser - Chạy Trốn Phồn Hoa,,,,,
73,8/Sep/2025,Indie,Corochti,VN,Ho Chi Minh,2025,"Founder: Nguyễn Chấn Nam & Võ Nguyễn Minh Thông
   - Notable Product: Trở Về Tuổi Thơ (>1M Downloads): Avatar Life",~10,Trở Về Tuổi Thơ,,,,,
74,8/Sep/2025,Indie,Young Buffalo,VN,N/A,2023,"  - Direction: Focusing on PC games based on Vietnamese life and culture.
  - Notable Product: 
   + Divine Guardian (Metroidvania)
   + Night Shippers (Co-op Horror)",~10,,"Divine Guardian
- Gerne: Metroidvania
- Theme: Mythologies & folklores
- Status: Release Date 2025
- Demo: https://store.steampowered.com/app/2438220/Divine_Guardian__V_Thn/

Night Shippers
- Gerne: Co-op Horror
- Theme: Horror
- Status: Coming soon
- Steam: https://store.steampowered.com/app/3761880/Night_Shippers/",,,,
75,8/Sep/2025,Indie,2OO2,VN,N/A,~2024,"Founder: The Anh
Initially, they produced analog horror videos, and Bad Parenting was their first game.
  - Direction: Focused on Bad Parenting, their analog horror game series
  - Notable Product: 
   + Bad Parenting 1: Mr. Red Face (Steam - $1.99; 1251 Very Positive Review)",1,Bad Parenting 1: Mr. Red Face,,,,,
76,11/Sep/2025,Company,Monster Box Studios,VN,Ho Chi Minh,2017,"Founder: Ngo Thanh Liem & Le Huu Lam
  - Direction: They mainly develop blockchain games, but they are venturing into traditional games.
  - Notable Product: Rune Seeker (Steam - Free)",<50,Rune Seeker,"Rune Seeker
- Gerne: Turn-based strategy
- Theme: Fantasy
- Status: Early Access
- Steam: https://store.steampowered.com/app/2469990/Rune_Seeker/",,,,
77,11/Sep/2025,Company,Tiger Games,VN,Ha Noi,2022,"Founder: Nguyen Anh Dung
  - Direction: focusing on developing casual & mid-core mobile games
  - Notable Product: 
   + Car Parker 3D - Parking Jam (Sort Puzzle)
   + Fish Journey: Draw to Save (Drawing Puzzle)",<50,Car Parker 3D - Parking Jam,,,,,
78,11/Sep/2025,Company,Inwave Studio,VN,Ha Noi,2014,"Founder: Dung Nguyen
They entered the gaming market in 2017.
  - Direction: focusing on hyper-casual mobile games
  - Notable Product: 
   + Tiles Hop (>500M Downloads): Rhythm
   + Waterpark: Slide Race (>500K Downloads): Hyper-casual",<50,Tiles Hop,,,,,
79,11/Sep/2025,Indie,Mini Fun Games,VN,N/A,~2017,"Founder: FVS
  - Direction: focusing on casual games, mostly for PC
  - Notable Product: 
   + Rock Crusher (Steam - $6.99): Idler Clicker
   + Towerful Defense: A Rogue TD (Steam - $9.99): Roguelike Tower Defense
   + Beat Stickman: Infinity Clones (>100K Downloads - Android): Simulation",1,Rock Crusher,,,,,
80,11/Sep/2025,Indie,Quasar Art Studio ,VN,Tra Vinh,2021,"
Founder: Quốc Khang Nguyễn (Pulssarr)
  - Direction: They are developing their first horror game.
  - Notable Product: Đồng Cỏ Lau - The Reed Field",1,,"The Reed Field
- Gerne: Survival Horror
- Theme: Horror
- Status: Coming Soon
- Steam: https://store.steampowered.com/app/3985730/ng_C_Lau__The_Reed_Field/",,,,
81,11/Sep/2025,Indie/Company,Gcenter Games,VN,Ha Noi,2019,"  - Direction: focusing on casual mobile games, with their two main genres being tower defense and shoot 'em up (similar to Chicken Invaders).
  - Notable Product: 
   + Defense Legend 5: Survivor TD (>1M Downloads)
   + Transmute: Galaxy Battle (>1M Downloads): Shoot'em Up",~30,Defense Legend 5: Survivor TD,,,,,
82,11/Sep/2025,Company,SENSPARK,VN,Ho Chi Minh,2011,"Founder: Lam Ho 
 - Direction: focusing on casual mobile games and WEB3
  - Notable Product: 
   + Gold Miner Go (>100K Downloads)
   + Stickman Battle (>10M Downloads)",>30,Stickman Battle,,,,,
83,11/Sep/2025,Company,TOHSOFT,VN,Ha Noi,2016,"Low-key Founder: Nguyen Dang Hieu
  - Direction: They offer multiple services, including outsourcing for game and app products. They also develop some action games
  - Notable Product: 
   + Shadow fighter 2: Ninja games (>10M Downloads)
   + Kaz Warrior 3 - Shinobi Legend (>1M Downloads)
   + Kaz Warrior 2: Warzone & RPG (>10M Downloads)",>50,Kaz Warrior 2: Warzone & RPG,,,,,
84,11/Sep/2025,N/A,UltraPub,VN,Son La,2021,"  - Direction: focusing on hyper-casual mobile games
  - Notable Product: 
   + Monster Shooter: Survival FPS (>10M Downloads)
   + Gym Idle Clicker: Fitness Hero (>10M Downloads)",N/A,Monster Shooter: Survival FPS,,,,,
85,15/Oct/2025,Indie,SOGA Studio,VN,N/A,<2024,"  - Direction: focusing on simulation games, mostly for PC
  - Notable Product: 
   + Taken Soul (Steam - $9.99): Survival Horror
   + Cabin Crew Life Simulator (Steam - $12.99): Simulation
   + Space Station Escape (Steam - $4.99): Simulation",N/A,Taken Soul,,,,,
86,16/Oct/2025,Solo developer,Little Snake Studio,VN,N/A,2023,"Founder: Vi
  - Direction: focusing on romance visual novel otome games
  - Notable Product: Who Murdered My Empress? (Steam - 17.99$): inspired by 19th century Vietnam
",1,Who Murdered My Empress?,"Broken Fate
- Gerne: Visual Novel
- Theme: Horror
- Status: currently crowdfunding on Kickstarter
- Steam (Demo): https://store.steampowered.com/app/3704230/Broken_Fate/?curator_clanid=45589382

Capybara Cafe Chronicles
- Gerne: Visual Novel
- Theme: Otome
- Status: To be announced
- Steam: https://store.steampowered.com/app/3684540/Capybara_Cafe__Chronicles/?curator_clanid=45589382

Princess of the Tomb
- Gerne: Visual Novel
- Theme: Otome
- Status: Coming Soon
- Steam: https://store.steampowered.com/app/3554180/Princess_of_the_Tomb/?curator_clanid=45589382",,,,
87,16/Oct/2025,Company,IEC Games,VN,Ha Noi,2015,"  - Direction: focusing on casual & hypercasual mobile games, mainly puzzle
  - Notable Product: 
   + Ball Sort Puzzle (>100M Downloads)
   + Gang Clash (>10M Downloads)",>50,Ball Sort Puzzle,,,,,
88,16/Oct/2025,Company,Dreamsoft Game Studio,VN,Ha Noi,2021,"Founder: Kien Nguyen
  - Direction: Outsourcing Company
  - Notable Product:
   + Thiên Mệnh Anh Hùng: MMORPG
   + Merge Master Dragon 3D: Auto Battler",>30,Thiên Mệnh Anh Hùng,,,,,
89,16/Oct/2025,Company,Dirox,VN,Ho Chi Minh,2003 (established in Vietnam),"Founder: Phil Read
  - Direction: Foreign outsourcing company with a branch in Vietnam",>100,,,,,,
90,16/Oct/2025,Company,Zenga,VN,Ha Noi,<2017,"  - Direction: Outsourcing Company focuses on educational games
  - Notable Product:
   + Coffee Mania - Sorting Jam (Puzzle) (400K Downloads)
   + Color Me Happy! (Puzzle) (5K Downloads)
   + Bucha Series (game series for learning English)",~30,Bucha,,,,,
91,16/Oct/2025,Company,Taurus Global Studio,VN,Ha Noi,2019,"  - Direction: outsourcing company with main clients from Japan
  - Notable Product:
   + Zombie Rush
   + Eternal Horde",~50,Eternal Horde,,,,,
92,16/Oct/2025,Company,Weegoon,VN,Ha Noi,2018,"Founder/CEO: Mr.Trong (aka Mr Lee)
  - Direction: focusing on casual mobile games, mainly puzzle
  - Notable Product: 
   + Maze Craze (>1M Downloads)
   + Ragdoll Break: Kick Loser (>1M Downloads)",>30,Maze Craze,,,,,
93,16/Oct/2025,Company,Onegame Studio,VN,Ha Noi,2013,"Founders: Khiem DB, Khanh PQ
  - Direction: focusing on casual mobile games
  - Notable Product: 
   + Stick Battle Fight (>10M Downloads): Action
   + Pull Him Up: Pin Puzzle Rescue (>10M Downloads): Puzzle",>30,Stick Battle Fight,,,,,
94,16/Oct/2025,Company,The One Game Studio,VN,Ha Noi,2022,"Co-founder: Khúc Mộc Thảo
  - Direction: focusing on casual mobile games, mainly simulation
  - Notable Product: 
   + Move It: Pose Challenge (Simulation)
   + Puppy Slide Puzzle (Puzzle)
   + Pawfect Life (Simulation)",>60,Move It: Pose Challenge,,,,,
95,16/Oct/2025,Company,SOFTFUN,VN,Ho Chi Minh,2019,"Founder: Nguyen Thanh Binh
  - Direction: focusing on casual mobile games
  - Notable Product: 
   + Merge Superhero: Fighting (>1M Downloads)
   + Bubble Shooter - Classic Pop (>100M Downloads)",>50,Bubble Shooter - Classic Pop,,,,,
96,16/Oct/2025,Company,Bombus Studio,VN,Ha Noi,2021,"Founder: Nguyen Nhat Anh
Formerly known as Angles Studio, later renamed to Bombus Studio in 2023
  - Direction: focusing on midcore mobile games
  - Notable Product: 
   + Auto Hero: Auto-shooting game (>1M Downloads)
   + Hotel Empire Fever (>1M Downloads)",>100,Hotel Empire Fever,,,,,
97,16/Oct/2025,N/A,Bitcover,,Ho Chi Minh,N/A,"  - Direction: They have developed and continue to work on PC games, while also taking on outsourcing projects for mobile titles of various scales
  - Notable Product: Lakeside Bar (Steam - 5.99$): Idler",N/A,Lakeside Bar,"Meow Meow Invasion
- Gerne: Roguelike
- Theme: Animal
- Status: Coming Soon
- Steam (Demo): https://store.steampowered.com/app/3351710/Meow_Meow_Invasion/?curator_clanid=45534137",,,,
98,16/Oct/2025,N/A,Eagle Games,,Hanoi,2023,"- CEO: Tung Luong - former Co-founder and CEO of Zitga
- Direction: Idle Tycoon mobile games, trying to create million dollar titles
- Notable Products:
   + Idle Zombie: Survival Tycoon - a mix of Overcooked & Idle RPG gameplay (like Capabara Go!) under Zombie Survival theme (launched Apr 2025, >600K Downloads)
   + Idle Eras Bar: Food Tycoon - Overcooked with Stone Age theme (launched Feb 2024, > 100K Downloads)",N/A,Idle Zombies: Survival Tycoon,,,,,
99,22/Dec/2025,,JoyUp Games,,Hanoi,2024,,15,Defense Legend 3: Future War,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,