month,price_bucket,ticket_tier_count,sold_out_count
2022-06,"(100000,500000]",6,6
2022-06,"(1000000,5000000]",20,18
2022-06,"(500000,1000000]",4,4
2022-06,"(5000000,10000000]",2,2
2022-08,"(100000,500000]",4,0
2022-08,"(1000000,5000000]",2,1
2022-08,"(500000,1000000]",1,0
2022-10,"(100000,500000]",1,0
2022-11,"(0,100000]",1,0
2022-11,"(100000,500000]",2,0
2022-12,"(0,100000]",2,0
2022-12,"(100000,500000]",3,1
2022-12,"(1000000,5000000]",5,3
2022-12,"(500000,1000000]",4,3
2023-01,"(0,100000]",3,0
2023-01,"(100000,500000]",62,12
2023-01,"(1000000,5000000]",24,1
2023-01,"(500000,1000000]",48,1
2023-02,"(0,100000]",4,0
2023-02,"(100000,500000]",84,10
2023-02,"(1000000,5000000]",59,20
2023-02,"(500000,1000000]",99,12
2023-02,"(5000000,10000000]",2,1
2023-02,(blank),1,0
2023-03,"(0,100000]",3,0
2023-03,"(100000,500000]",95,8
2023-03,"(1000000,5000000]",80,11
2023-03,"(500000,1000000]",126,12
2023-03,"(5000000,10000000]",2,0
2023-03,(blank),3,1
2023-04,"(100000,500000]",103,5
2023-04,"(1000000,5000000]",67,18
2023-04,"(500000,1000000]",114,11
2023-04,(blank),7,0
2023-05,"(0,100000]",2,0
2023-05,"(100000,500000]",72,7
2023-05,"(1000000,5000000]",73,25
2023-05,"(500000,1000000]",112,9
2023-05,"(5000000,10000000]",5,3
2023-05,(blank),2,0
2023-06,"(0,100000]",5,0
2023-06,"(100000,500000]",86,2
2023-06,"(1000000,5000000]",75,20
2023-06,"(500000,1000000]",101,7
2023-06,"(5000000,10000000]",10,3
2023-06,(blank),5,0
2023-07,"(0,100000]",7,0
2023-07,"(100000,500000]",96,3
2023-07,"(1000000,5000000]",88,21
2023-07,"(500000,1000000]",107,9
2023-07,"(5000000,10000000]",1,1
2023-07,(blank),6,0
2023-08,"(0,100000]",2,0
2023-08,"(100000,500000]",99,6
2023-08,"(1000000,5000000]",106,18
2023-08,"(500000,1000000]",118,9
2023-08,(blank),2,0
2023-09,"(0,100000]",3,0
2023-09,"(100000,500000]",97,10
2023-09,"(1000000,5000000]",70,18
2023-09,"(10000000,20000000]",1,1
2023-09,"(20000000,+inf)",1,1
2023-09,"(500000,1000000]",122,11
2023-09,"(5000000,10000000]",3,1
2023-09,(blank),3,0
2023-10,"(0,100000]",7,0
2023-10,"(100000,500000]",61,16
2023-10,"(1000000,5000000]",82,24
2023-10,"(10000000,20000000]",1,0
2023-10,"(20000000,+inf)",2,0
2023-10,"(500000,1000000]",63,16
2023-10,"(5000000,10000000]",7,0
2023-10,(blank),5,1
2023-11,"(0,100000]",9,2
2023-11,"(100000,500000]",63,3
2023-11,"(1000000,5000000]",76,18
2023-11,"(10000000,20000000]",2,0
2023-11,"(500000,1000000]",67,7
2023-11,"(5000000,10000000]",2,0
2023-11,(blank),2,1
2023-12,"(0,100000]",8,0
2023-12,"(100000,500000]",130,4
2023-12,"(1000000,5000000]",69,17
2023-12,"(20000000,+inf)",12,11
2023-12,"(500000,1000000]",91,7
2023-12,"(5000000,10000000]",7,5
2023-12,(blank),1,0
2024-01,"(100000,500000]",63,3
2024-01,"(1000000,5000000]",36,2
2024-01,"(500000,1000000]",59,4
2024-01,"(5000000,10000000]",1,0
2024-01,(blank),3,0
2024-02,"(0,100000]",2,0
2024-02,"(100000,500000]",41,2
2024-02,"(1000000,5000000]",29,9
2024-02,"(500000,1000000]",32,5
2024-02,"(5000000,10000000]",3,1
2024-03,"(0,100000]",1,0
2024-03,"(100000,500000]",55,5
2024-03,"(1000000,5000000]",55,16
2024-03,"(20000000,+inf)",1,0
2024-03,"(500000,1000000]",66,10
2024-03,"(5000000,10000000]",3,0
2024-03,(blank),4,0
2024-04,"(0,100000]",4,0
2024-04,"(100000,500000]",65,4
2024-04,"(1000000,5000000]",60,20
2024-04,"(10000000,20000000]",1,0
2024-04,"(500000,1000000]",58,5
2024-04,"(5000000,10000000]",5,3
2024-04,(blank),2,0
2024-05,"(0,100000]",7,2
2024-05,"(100000,500000]",72,16
2024-05,"(1000000,5000000]",39,9
2024-05,"(10000000,20000000]",1,1
2024-05,"(500000,1000000]",61,7
2024-05,"(5000000,10000000]",1,0
2024-05,(blank),7,2
2024-06,"(0,100000]",8,1
2024-06,"(100000,500000]",99,12
2024-06,"(1000000,5000000]",49,9
2024-06,"(500000,1000000]",72,14
2024-06,"(5000000,10000000]",2,1
2024-06,(blank),1,0
2024-07,"(0,100000]",3,0
2024-07,"(100000,500000]",85,10
2024-07,"(1000000,5000000]",56,22
2024-07,"(500000,1000000]",71,10
2024-07,"(5000000,10000000]",1,0
2024-07,(blank),3,2
2024-08,"(0,100000]",6,0
2024-08,"(100000,500000]",106,19
2024-08,"(1000000,5000000]",69,28
2024-08,"(500000,1000000]",66,14
2024-09,"(0,100000]",7,0
2024-09,"(100000,500000]",88,19
2024-09,"(1000000,5000000]",80,31
2024-09,"(500000,1000000]",52,10
2024-09,"(5000000,10000000]",2,2
2024-09,(blank),4,0
2024-10,"(0,100000]",5,1
2024-10,"(100000,500000]",58,12
2024-10,"(1000000,5000000]",71,29
2024-10,"(500000,1000000]",82,26
2024-10,"(5000000,10000000]",4,3
2024-10,(blank),3,0
2024-11,"(0,100000]",6,0
2024-11,"(100000,500000]",62,18
2024-11,"(1000000,5000000]",70,13
2024-11,"(10000000,20000000]",1,0
2024-11,"(500000,1000000]",80,13
2024-11,"(5000000,10000000]",4,0
2024-12,"(0,100000]",11,2
2024-12,"(100000,500000]",85,23
2024-12,"(1000000,5000000]",171,85
2024-12,"(500000,1000000]",115,54
2024-12,"(5000000,10000000]",16,5
2025-01,"(0,100000]",3,0
2025-01,"(100000,500000]",34,4
2025-01,"(1000000,5000000]",40,5
2025-01,"(500000,1000000]",35,5
2025-01,"(5000000,10000000]",3,3
2025-01,(blank),1,0
2025-02,"(0,100000]",4,0
2025-02,"(100000,500000]",48,25
2025-02,"(1000000,5000000]",78,42
2025-02,"(500000,1000000]",59,27
2025-02,"(5000000,10000000]",4,2
2025-02,(blank),3,0
2025-03,"(0,100000]",3,1
2025-03,"(100000,500000]",48,11
2025-03,"(1000000,5000000]",140,91
2025-03,"(10000000,20000000]",1,1
2025-03,"(500000,1000000]",58,32
2025-03,"(5000000,10000000]",11,9
2025-03,(blank),3,3
2025-04,"(0,100000]",5,0
2025-04,"(100000,500000]",64,8
2025-04,"(1000000,5000000]",106,62
2025-04,"(500000,1000000]",67,31
2025-04,"(5000000,10000000]",4,4
2025-04,(blank),2,0
2025-05,"(0,100000]",3,0
2025-05,"(100000,500000]",79,26
2025-05,"(1000000,5000000]",144,95
2025-05,"(20000000,+inf)",1,0
2025-05,"(500000,1000000]",118,73
2025-05,"(5000000,10000000]",13,12
2025-05,(blank),2,2
2025-06,"(0,100000]",19,8
2025-06,"(100000,500000]",140,36
2025-06,"(1000000,5000000]",124,81
2025-06,"(10000000,20000000]",1,0
2025-06,"(500000,1000000]",110,34
2025-06,"(5000000,10000000]",16,6
2025-06,(blank),11,0
2025-07,"(0,100000]",7,1
2025-07,"(100000,500000]",124,37
2025-07,"(1000000,5000000]",111,40
2025-07,"(500000,1000000]",100,30
2025-07,"(5000000,10000000]",6,0
2025-07,(blank),9,5
2025-08,"(0,100000]",20,1
2025-08,"(100000,500000]",111,30
2025-08,"(1000000,5000000]",207,136
2025-08,"(10000000,20000000]",1,0
2025-08,"(500000,1000000]",117,56
2025-08,"(5000000,10000000]",9,7
2025-08,(blank),6,0
2025-09,"(0,100000]",14,0
2025-09,"(100000,500000]",102,24
2025-09,"(1000000,5000000]",122,69
2025-09,"(10000000,20000000]",1,0
2025-09,"(500000,1000000]",89,39
2025-09,"(5000000,10000000]",5,4
2025-09,(blank),11,5
2025-10,"(0,100000]",8,2
2025-10,"(100000,500000]",106,22
2025-10,"(1000000,5000000]",127,76
2025-10,"(10000000,20000000]",2,0
2025-10,"(20000000,+inf)",1,0
2025-10,"(500000,1000000]",98,29
2025-10,"(5000000,10000000]",10,5
2025-10,(blank),13,10
2025-11,"(0,100000]",10,1
2025-11,"(100000,500000]",47,11
2025-11,"(1000000,5000000]",157,91
2025-11,"(10000000,20000000]",3,1
2025-11,"(500000,1000000]",80,28
2025-11,"(5000000,10000000]",20,16
2025-11,(blank),8,1
2025-12,"(0,100000]",8,2
2025-12,"(100000,500000]",98,23
2025-12,"(1000000,5000000]",122,83
2025-12,"(10000000,20000000]",1,0
2025-12,"(500000,1000000]",79,32
2025-12,"(5000000,10000000]",5,2
2025-12,(blank),7,2
2026-01,"(0,100000]",27,2
2026-01,"(100000,500000]",77,10
2026-01,"(1000000,5000000]",190,102
2026-01,"(20000000,+inf)",1,0
2026-01,"(500000,1000000]",80,31
2026-01,"(5000000,10000000]",13,12
2026-01,(blank),7,2
2026-02,"(0,100000]",6,2
2026-02,"(100000,500000]",47,15
2026-02,"(1000000,5000000]",37,11
2026-02,"(500000,1000000]",20,4
2026-02,(blank),2,0
2026-03,"(0,100000]",6,4
2026-03,"(100000,500000]",70,22
2026-03,"(1000000,5000000]",162,110
2026-03,"(500000,1000000]",85,50
2026-03,"(5000000,10000000]",6,0
2026-03,(blank),2,1
2026-04,"(0,100000]",10,0
2026-04,"(100000,500000]",102,17
2026-04,"(1000000,5000000]",219,109
2026-04,"(10000000,20000000]",2,2
2026-04,"(500000,1000000]",84,42
2026-04,"(5000000,10000000]",11,9
2026-04,(blank),12,2
2026-05,"(0,100000]",15,1
2026-05,"(100000,500000]",285,34
2026-05,"(1000000,5000000]",88,31
2026-05,"(10000000,20000000]",1,0
2026-05,"(500000,1000000]",100,36
2026-05,(blank),10,0
2026-06,"(100000,500000]",621,3
2026-06,"(1000000,5000000]",111,1
2026-06,"(500000,1000000]",38,0
2026-06,(blank),12,0
2026-07,"(100000,500000]",86,0
2026-07,(blank),13,0
