slide_number,slide_type,part_number,part_name,section,subsection,category,title,purpose,evidence,visual,takeaway,status,owner,notes
1,cover,,,,,meta,Examining Vietnam Gaming Market Opportunity 2026,Open the deck with the market question and geographic focus.,Deck title and brand framing only.,Bold title slide with Garena-style red accent and Vietnam label.,This deck tests whether Vietnam is a near-term sourcing opportunity in 2026.,seed,,Use as the entry slide for HTML and PowerPoint.
2,divider,01,Executive Summary,Executive Summary,,meta,Executive Summary,Start the summary section.,,Centered section-break title.,"Lead with the answer, then let the body prove it.",seed,,
3,divider,02,Macro & Cultural Factors,Macro & Cultural Factors,,meta,Macro & Cultural Factors,Start the readiness-factor section.,,Section break with subtitle for demand-side and supply-side drivers.,Establish whether Vietnam is becoming more ready for local game success.,seed,,
4,content,02,Macro & Cultural Factors,Demand-side Factors,Income per Capita,demand,Income per Capita Trends & Regional Benchmarking,"Show whether rising purchasing power is improving Vietnam's readiness for higher-value gaming spend, using actual World Bank GDP per capita data through 2024.","World Bank GDP per capita (current US$), Viet Nam:\n- 2015: $2,578\n- 2016: $2,735\n- 2017: $2,956\n- 2018: $3,222\n- 2019: $3,441\n- 2020: $3,534\n- 2021: $3,704\n- 2022: $4,148\n- 2023: $4,323\n- 2024: $4,717\n\n2015-2024 CAGR:\n- Viet Nam: 6.95%\n- Indonesia: 4.59%\n- Philippines: 3.55%\n- Thailand: 2.88%\n- Malaysia: 2.33%","Custom benchmark slide: 2015-2024 Vietnam trend bars on the left, KPI cards plus ASEAN benchmark CAGR bars on the right.","Vietnam still trails richer ASEAN peers on absolute income, but its faster GDP-per-capita growth supports stronger medium-term upside for discretionary gaming spend.",priority,,Source: World Bank.
5,content,02,Macro & Cultural Factors,Demand-side Factors,Demand for Digital Entertainment,demand,Demand for Digital Entertainment,"Use official sector-value data to infer long-run demand growth for digital entertainment in Vietnam, on a 2015-2024 window consistent with slide 8.","National Statistics Office of Vietnam sector-value series, 2015-2024:\n- Information & Communication (VND bn): 29,392 to 387,489\n- Arts & Entertainment (VND bn): 24,969 to 71,488\n\n2015-2024 CAGR:\n- Information & Communication: 33.18%\n- Arts & Entertainment: 12.40%","Line chart with 2 lines: Information & Communication and Arts & Entertainment, plus two CAGR scorecards.","The steady uptrend in demand for Information & Communication and Arts & Entertainment services probably implies a steady rise in demand for digital entertainment, including games.",priority,,Source: National Statistics Office of Vietnam.
6,content,02,Macro & Cultural Factors,Demand-side Factors,Demographics,demand,Demographics of Vietnamese Gamers,Use actual game-level demographics to show which age cohorts dominate the highest-grossing mobile games in Vietnam.,"Top 10 grossing games in Vietnam by 2025 revenue from the local warehouse, with age-bucket distributions pulled from Sensor Tower demographics and combined across app variants using average 2025 VN DAU as weights.\n\nImportant method note:\n- Revenue ranking is Vietnam-only\n- Demographics use Sensor Tower's SE_ASIA geography because VN is not supported directly by that endpoint\n- App-level demographic mixes are combined using avg DAU in Vietnam during 2025\n- Sensor Tower bucket labels are rendered here as age bands: 0-17, 18-24, 25-34, 35-44, 45-54","Stacked horizontal bar chart by game using age bands 0-17, 18-24, 25-34, 35-44, and 45-54, plus a short portfolio read-through.","Mobile gamers of biggest games in Vietnam are mostly made up of those who are under 25 years old, with the age group of 18-24 contributing the most players.",priority,,Source: SensorTower (Revenue-adjusted for Vietnam market; Demographics of SE_ASIA is used as proxy for VN and app variants are combined using average 2025 VN DAU weights).
7,content,02,Macro & Cultural Factors,Demand-side Factors,Historical Demographic Changes,demand,Vietnam Overall Demographics,Recreate Vietnam's changing population pyramid from 1950 to 2025 so we can visually explain how the country's age structure evolved into today's gaming-relevant demographic base.,"Annual Vietnam age-by-sex population pyramid data for 1950-2025, including total population and median age. Local recreation based on PopulationPyramids.org and UN World Population Prospects 2024.","Interactive animated population pyramid with play controls, year slider, and quick-jump buttons.","Vietnam has a large under-25 population of 37.2 million, equal to 36.6% of the population, which serves as a major potential target audience for gaming.",priority,,Source: PopulationPyramids.org / UN World Population Prospects 2024.
8,content,02,Macro & Cultural Factors,Demand-side Factors,Under-25 Population Trend,demand,"Under-25 Population Trend, 1980-2025",Show how Vietnam's under-25 audience base has evolved over time in both absolute size and share of population.,"Vietnam under-25 population (0-24) from 1980 to 2025, using the same local population-pyramid dataset as slide 11. Bar = number of people. Line = under-25 share of total population.","Combo chart with bars for under-25 people and line for under-25 percentage share, 1980-2025.","With a rapidly aging population and low replacement rate, Vietnam's under-25 population has already been in a downtrend. If this trend continues, games with mostly youthful user bases will eventually face active-user pressure.",priority,,Source: PopulationPyramids.org / UN World Population Prospects 2024.
9,content,02,Macro & Cultural Factors,Demand-side Factors,Hardware,demand,Hardware,"Show that device access and connectivity are already strong enough to support mass mobile play, meaningful PC play, and limited console play.",Hardware and connectivity evidence:\n- 100.7M smartphone subscribers in Feb 2024\n- 127.6 mobile cellular subscriptions per 100 people in 2024\n- 84.15% internet users in 2024\n- 99% 4G population coverage in Nov 2024\n- 90% 5G population coverage by Feb 2026\n- 82.3% of households on fiber in Oct 2024\n- 68% of urban 18-39 respondents owned a desktop or laptop in a 2017 Q&Me survey\n- Console penetration remains below 5%,Custom hardware-readiness slide with mobile access metrics on the left and PC / console context on the right.,"Vietnam is already a mobile-first hardware market: smartphone and internet access are effectively mass-market, urban PC ownership is still meaningful, and console remains niche.",priority,,"Sources: Freedom House, World Bank/TradingEconomics, Vietnam+, VietnamNet, VnExpress, Pew Research, Q&Me, Digital in Asia."
10,content,02,Macro & Cultural Factors,Demand-side Factors,Console Button Era,demand,Vietnam Gaming History: Console Button Era,"Show how gaming first took root in Vietnam through rented consoles, arcade corners, and neighborhood spectators before any formal industry existed.","Era focus:
- 1990s
- Famicom / NES clones and PS1 as luxury devices
- Cartridge console shops and arcade centers
- Hyper-local, face-to-face gaming culture","Large placeholder collage on the left, structured era panel on the right, and static four-era tabs on top.","Gaming in Vietnam began as a local, face-to-face pastime built around rented consoles and shared neighborhood play.",priority,,Source: The Evolution of Gaming in Vietnam research document.
11,content,02,Macro & Cultural Factors,Demand-side Factors,PC Gaming & Internet Boom,demand,Vietnam Gaming History: PC Gaming & Internet Boom,"Show how ADSL, Quan Net culture, and the first publishers turned gaming into a mass youth habit while also triggering the strongest social backlash.","Era focus:
- 2000-2010
- ADSL rollout and Quan Net dominance
- VNG, VTC Game, FPT Online
- LAN classics and first online-game boom","Large placeholder collage on the left, structured era panel on the right, and static four-era tabs on top.","The internet era made gaming mass-market in Vietnam, but it also produced the country's strongest stigma around games.",priority,,Source: The Evolution of Gaming in Vietnam research document.
12,content,02,Macro & Cultural Factors,Demand-side Factors,Mobile Shift & Dawn of Esports,demand,Vietnam Gaming History: Mobile Shift & Esports,"Show how smartphones, free-to-play games, streaming, and esports made gaming more mainstream and commercially visible.","Era focus:
- 2011-2020
- 3G/4G and affordable smartphones
- Flappy Bird global shockwave
- Garena, streaming, and esports professionalization","Large placeholder collage on the left, structured era panel on the right, and static four-era tabs on top.",Mobile and esports turned gaming into everyday entertainment and a more socially accepted career path.,priority,,Source: The Evolution of Gaming in Vietnam research document.
13,content,02,Macro & Cultural Factors,Demand-side Factors,Cross-Platform & Digital Economy Era,demand,Vietnam Gaming History: Digital Economy Era,"Show how gaming moved into a cross-platform, globalized, creative-tech role inside Vietnam's digital economy.","Era focus:
- 2021-present
- 5G, cloud, and advanced engines
- Amanotes, iKame, Sky Mavis / Axie Infinity
- GameVerse, university game majors, and ecosystem recognition
- 2024: >2,000 bn VND from international users on Google Play (apps + games)
- 2025: 4.9B global downloads for Vietnamese-made mobile games","Large placeholder collage on the left, structured era panel on the right, and static four-era tabs on top.","Gaming is now framed as a cross-platform creative-tech industry, with Vietnamese studios producing for the world at real export scale.",priority,,Source: The Evolution of Gaming in Vietnam research document; ABEI; Google App Summit 2025; VnExpress GameVerse 2026.
14,content,02,Macro & Cultural Factors,Demand-side Factors,History Summary,demand,Vietnam Gaming History: Summary,"Summarize how gaming evolved across all four eras in culture, acceptance, and domestic production capability.",Columns:\n- Aspect\n- Console Button 1990s\n- PC & Internet Boom 2000-2010\n- Mobile Shift & Esports 2011-2020\n- Digital Economy Era 2021-Present\n\nRows:\n- Gaming Culture\n- Social Acceptance\n- VN Game Production,Five-column comparison table with compact era summaries by aspect.,"Vietnam's gaming history moved from local play culture into mass digital entertainment, then into a more visible production and export ecosystem.",priority,,Source: The Evolution of Gaming in Vietnam research document.
15,content,02,Macro & Cultural Factors,Demand-side Factors,Macro Transformation Bedrock,demand,Vietnam Macro Backdrop,Zoom out from gaming history to the broader macro shifts that explain why Vietnam's gaming market could evolve so sharply across eras.,Foundational factors from the Bedrock slide:\n- Economic Condition\n- State of Technology\n- Human Resource Capability\n- Global Cultural Integration\n- Consumerism & Payment\n\nTime columns:\n- 1990s: Post-Doi Moi & Analog\n- 2000s: Industrializing & Broadband\n- 2010s: Mobile Leapfrog & Startup Boom\n- 2021-2026: Digital Economy & Global Export,Four-era macro matrix showing how Vietnam evolved beneath the gaming market.,"Gaming shifted because the country itself shifted: income rose, technology spread, skills deepened, culture globalized, and digital spending became normal.",priority,,"Source: Vietnam_Macro_Transformation_Bedrock.pptx, slide 3."
16,content,02,Macro & Cultural Factors,Demand-side Factors,Made-in-Vietnam Entertainment: Movies,demand,THE RISE OF MADE-IN-VIETNAM ENTERTAINMENT: MOVIES,"Use Vietnam cinema output and box-office data to show that domestic entertainment production has expanded meaningfully over time, even while international films still dominate total releases.","Movie counts use unique movie_slug by listing_year from the merged Moveek + Box Office Vietnam sheet, split between Vietnamese and non-Vietnamese titles. Top-grossing Vietnamese movies use boxofficevietnam_total_revenue_vnd where available.\n\nDirectional local counts:\n- 2010: 4 Vietnamese vs 18 non-Vietnamese\n- 2015: 40 vs 187\n- 2020: 22 vs 168\n- 2025: 46 vs 232","Left: stacked yearly chart of Vietnamese and non-Vietnamese movie slugs. Right: top-grossing Vietnamese movie table with release year, title, and revenue.","While international movies still take up the majority, the number of Vietnamese movies going to the cinema has trended upward over time, and we increasingly see more high-grossing local releases.",priority,,Source: Moveek + Box Office Vietnam merged cinema dataset.
17,content,02,Macro & Cultural Factors,Demand-side Factors,Made-in-Vietnam Entertainment: Concerts,demand,THE RISE OF MADE-IN-VIETNAM ENTERTAINMENT: CONCERTS,Use concert listing data to show that Vietnamese live entertainment is no longer just importing attention from foreign acts; locally produced concerts are now scaling into recognizable mass events.,"Vietnamese vs non-Vietnamese concert counts come from the concertarchives.org sheet, using the is_vietnamese_concert flag.\n\nDirectional counts used for the slide:\n- 2010: 0 Vietnamese vs 5 non-Vietnamese\n- 2015: 0 vs 20\n- 2020: 5 vs 9\n- 2025: 48 vs 35\n\n2026 is excluded as partial/in-progress coverage.",Left: stacked bar chart of Vietnamese and non-Vietnamese concert counts by year. Right: hero image of Anh Trai Say Hi as an iconic local-concert example.,"International acts still make up much of the concert market historically, but Vietnamese concerts have risen sharply and now produce their own iconic large-scale live events.",priority,,Source: concertarchives.org sheet; image via Vie Channel / VnExpress.
18,content,02,Macro & Cultural Factors,Demand-side Factors,Made-in-Vietnam Entertainment: YouTube Videos,demand,THE RISE OF MADE-IN-VIETNAM ENTERTAINMENT: YOUTUBE VIDEOS?,"Use daily YouTube trending-language data to show whether Vietnamese-language content still dominates attention on a global platform, then ground it with one concrete day-level trending snapshot.","Daily Vietnamese-video share uses the language-count sheet from 2022-07-01 to 2025-06-30. The right-side table uses unique trending videos captured on 2025-06-30 from the per-video sheet, deduplicated by video_id within the day.\n\nKey stats:\n- Average daily Vietnamese share: 70.79%\n- 2025-06-30 Vietnamese share: 61.02%\n- Unique trending videos on 2025-06-30: 59",Left: dense daily line chart of Vietnamese-video share in YouTube trending. Right: scrollable unique trending videos table for 2025-06-30.,"While Vietnamese videos still make up the majority of YouTube trending in Vietnam, there is a gradual decline over time, showing that Vietnamese audiences are increasingly watching more YouTube content from international creators.",priority,,Source: most_popular_vn_daily_video_language_counts.csv and most_popular_vn_with_is_vietnamese_video.csv.
19,content,02,Macro & Cultural Factors,Demand-side Factors,Demand Conclusion,demand,QUICK SUMMARY: VIETNAM GAMING DEMAND,"Synthesize the market-readiness section into one demand conclusion: where growth has come from, what is supporting it now, and what may limit it later.","This slide should compress the macro, demographic, and history signals into one demand narrative.\n\nInclude:\n- 4 gaming-history eras\n- Core demand drivers\n- Near-term vs medium/long-term implication",Top: 4-era progression strip. Bottom: horizontal factor cards for demand drivers.,"Vietnam has seen a macro-backed gaming boom, but the same demographic transition that helped create today's market may slow growth later unless the industry broadens beyond the youngest cohorts.",priority,,Conclusion slide bridging slides 8-22 into a demand view.
20,content,02,Macro & Cultural Factors,Demand-side Factors,Domestic vs International Preference Conclusion,demand,QUICK SUMMARY: VIETNAM'S PREFERENCE - DOMESTIC VS INTERNATIONAL,"Synthesize the movies, concerts, and YouTube evidence into one conclusion about where Vietnamese audiences prefer domestic content and where international content is still gaining ground.",This slide should compare high-investment local entertainment success versus everyday global-platform consumption.\n\nUse:\n- Movies slide\n- Concerts slide\n- YouTube slide,"Comparative summary across Movies, Concerts, and YouTube with one conclusion on domestic-vs-international preference.","Made-in-Vietnam entertainment is gaining ground in heavier, high-investment formats, but daily online entertainment shows a more mixed and increasingly international consumption pattern.",priority,,Conclusion slide bridging slides 20-22 into a preference view.
21,content,02,Macro & Cultural Factors,Supply-side Factors,Supply-side Overview,supply,SHIFTING GOVERNMENT STANCE: OVERVIEW,"Open the supply section with a broad, two-dimensional view of Vietnam's gaming supply landscape — covering both production ecosystem scale/capability AND the policy environment that shapes who can operate. This slide frames the full supply story before slides 22-26 go into each dimension in detail.","Draw from BOTH research docs. Structure the slide around two supply dimensions and one structural paradox.\n\nDimension 1 — Production ecosystem (from Vietnam Game Production Ecosystem doc):\nEcosystem scale (2025 KPIs):\n- 210 active domestic studios, 2,679 registered publishers (26th globally, +27.39% YoY)\n- 27,388 new game titles launched in 2025 (33rd globally in production volume)\n- $1.66B total revenue (2025) -> $2.42B projected (2029), CAGR 9.77%\n- 9,300 downloads per minute; 4.91B total downloads in 2025\nCapability arc (very brief — slide 26 goes deep):\n- 2000-2011: AAA art outsourcing foundation (Glass Egg: Call of Duty, Spider-Man; Gameloft: 1,200 staff)\n- 2012-2019: Self-publishing mobile boom (Flappy Bird -> Amanotes 3B+ downloads)\n- 2020-2026: Premium PC/console + Web3 emergence (Axie Infinity $4.1B peak; Hoa Webby Awards; Th\u1ea7n Tr\u00f9ng 91% on Steam)\n\nDimension 2 — Policy environment (from Vietnamese Game Development Government Support doc):\n- Gaming officially designated one of Vietnam's 6 key cultural industries (2023)\n- State directive: 'Do local, go global' — explicit ambition to build a global export hub\n- Dual structure: generous fiscal incentives for local studios (10% CIT, VAT exemption, R&D 200% deduction) + strict compliance gate for operators (Decree 147, Dec 2024)\n- Who consolidates: committed local operators (VNG, Garena) | Who exits: casual cross-border entrants (Riot, Blizzard)\n\nThe structural paradox (bottom callout):\n- 94.47% of downloads are exports — only 5.53% domestic consumption\n- Domestic market is tightly regulated; most studios build lightweight titles specifically to bypass local compliance and target global Tier 3-4 markets (India, Brazil, Indonesia)\n- Result: Vietnam is simultaneously a major global game exporter and a heavily gated domestic market","Multi-zone overview layout (no single large image needed).\nTop strip: 5-6 KPI chips showing ecosystem scale (studios, publishers, revenue, downloads, CAGR).\nMiddle: two side-by-side panels — left panel shows the 3-step capability arc (outsourcing -> mobile publishing -> premium/Web3); right panel shows the policy environment (2-3 bullets on dual structure: support + control).\nBottom callout bar: the structural paradox — export-first market, 94.47% downloads are international, domestic market is the gated exception not the rule.","Vietnam's gaming supply side has matured on two fronts simultaneously: a growing base of studios delivering at global publishing scale, and a policy environment that actively promotes domestic capability while keeping the domestic market tightly gated. Slides 22-26 unpack each dimension.",priority,,Source: Vietnam Game Production Ecosystem_ Evolution.docx; Vietnamese Game Development Government Support.docx
22,content,02,Macro & Cultural Factors,Supply-side Factors,Government Regulation & Policy,supply,SHIFTING GOVERNMENT STANCE: EARLY INTERNET ERA,"Zoom in on the first policy era, when online games were seen mainly as a youth-management and social-order issue rather than as a strategic digital industry.",Use only the government-support research doc. Include:\n- Official suspicion toward online games\n- Addiction / academic decline framing\n- Decree 72 / early control logic\n- Why the state prioritized containment over sector building,"Large visual placeholder for internet-cafe / early online-gaming imagery on the left, with detailed policy narrative on the right.","In the early internet era, the state treated games primarily as a social-risk problem to contain, not as a creative-tech sector to cultivate.",priority,,Source: Vietnamese Game Development Government Support.docx
23,content,02,Macro & Cultural Factors,Supply-side Factors,Government Regulation & Policy,supply,SHIFTING GOVERNMENT STANCE: STRATEGIC POLICY PIVOT,Explain how Vietnam's stance changed from defensive control to active promotion once gaming was reframed as part of the national cultural and digital-content economy.,"Use only the government-support research doc. Include:\n- Reclassification of gaming inside cultural / digital-content policy\n- 'Do local, go global' logic\n- Why export potential mattered\n- Role of GameVerse, GameHub, and alliance-building in the new narrative","Large visual placeholder for GameVerse / official promotion imagery on the left, with policy-shift narrative and strategic implications on the right.",Vietnam's policy pivot did not simply make regulation softer; it gave gaming a new strategic role inside the country's higher-value digital-economy ambitions.,priority,,Source: Vietnamese Game Development Government Support.docx
24,content,02,Macro & Cultural Factors,Supply-side Factors,Government Regulation & Policy,supply,SHIFTING GOVERNMENT STANCE: COMPLIANCE-HEAVY GROWTH,Explain how the state now promotes the sector while simultaneously imposing a strict localization and compliance regime that reshapes who can operate in Vietnam.,"Use only the government-support research doc. Include:\n- Local presence requirement for operators\n- G1-G4 licensing structure\n- Real-name checks, youth playtime limits, and content restrictions\n- Why Decree 147 favors serious local operators over casual cross-border entry","Large visual placeholder for compliance / licensing imagery on the left, with Decree 147 operating implications on the right.","Vietnam now supports gaming as an industry, but it does so through a compliance-heavy domestic framework that sharply raises the barrier to entry.",priority,,Source: Vietnamese Game Development Government Support.docx
25,content,02,Macro & Cultural Factors,Supply-side Factors,Support for Domestic Game Development,supply,SUPPORT FOR DOMESTIC GAME DEVELOPMENT: DIRECT & INDIRECT,"Show how the Vietnamese state has built a three-layer enabling stack for domestic studios — a promotional ecosystem, a fiscal concession architecture, and a formal talent pipeline.","Use only the government-support research doc. Organize around three layers:\n\nPromotional Ecosystem:\n- GameVerse (state expo): 20K visitors (2023) -> 50K (2026); Google, Meta, Roblox, Riot as partners\n- GameHub incubator: direct investment for selected local studios\n- Vietnam Game Alliance (2021): VNG, Garena, VTC, VCCorp, Viettel\n\nFiscal Concessions:\n- 10% CIT for 15 years, 4-year full exemption + 9 years at 50%\n- Full VAT exemption, 200% R&D super-deduction, SME startup tax holidays\n- SCT deferral (2023): industry successfully lobbied against luxury tax on games\n\nTalent Pipeline:\n- PTIT (2024): first public Game Design degree, Game Tech Lab with FALCON\n- UIT co-training with VNGGames + Roblox Global\n- RMIT, FPT Polytechnic, SAMA\n\nImage: GameVerse 2026 exhibition floor (official photo from Vietnam Game Alliance / MIC).","Image placeholder left (GameVerse 2026). Right panel: three stacked layers with red left-border labels — Promotional Ecosystem, Fiscal Concessions, Talent Pipeline — each with 2-3 compact bullets.","Beyond regulation, Vietnam has built a three-layer enabling stack for domestic studios: a visible promotional ecosystem, a generous fiscal architecture, and a formal game-development talent pipeline now entering its first generation.",priority,,Source: Vietnamese Game Development Government Support.docx
26,content,02,Macro & Cultural Factors,Supply-side Factors,Quality of Made in VN Games / Capability of VN Studios,supply,CAPABILITY EVOLUTION: FROM OUTSOURCING TO GLOBAL PUBLISHING,Show how Vietnam's production capability evolved across three distinct eras — from AAA art outsourcing to mobile self-publishing at scale to credible premium PC and Web3 development.,"Use only the production-ecosystem research doc. Three eras:\n\nEra 1 (2000-2011): Glass Egg (Call of Duty, Spider-Man, Forza) + Gameloft (1,200 staff). Built the foundational talent base.\n\nEra 2 (2012-2019): Flappy Bird -> Amanotes, ABI/Onesoft, Zitga. Scaled high-volume mobile publishing.\n\nEra 3 (2020-2026): Sky Mavis ($4.1B Axie Infinity + Ronin), Hoa (3 Webby Awards), Than Trung (91% Steam), God of Weapons (100K copies/2 weeks).\n\nKPIs: 27,388 new titles (2025), 8.5B Google Play downloads, 94.47% export share.\n\nImage: Hoa game art (Skrollcat Studio).",Timeline left: 3 stacked era cards with red left-border (years + label + anchor studios + 1-line copy + connector between eras). Right: image placeholder for Hoa key art. Bottom: 3 KPI chips.,Vietnam's studio capability grew across three eras — from executing others' visions to shipping globally competitive products — but output remains overwhelmingly export-oriented.,priority,,Source: Vietnam Game Production Ecosystem_ Evolution.docx
27,content,02,Macro & Cultural Factors,Supply-side Factors,Quality of Made in VN Games / Capability of VN Studios,supply,MADE IN VIETNAM: STUDIO PROOF POINTS,Provide concrete evidence of current Vietnamese studio capability through four flagship studios — each representing a different achievement tier.,"Use only the production-ecosystem research doc. Four studios with specific numbers:\n\nAmanotes: Magic Tiles 3 (1B+ downloads), first SEA publisher in 3B-download club (2023), 100M+ MAUs.\nSky Mavis: Axie Infinity $4.1B peak market cap, Ronin sidechain, recovered from $625M exploit.\nSkrollcat: Hoa (2021) — 3 Webby Awards, 91K+ Steam copies, ~$938K. Hoa 2 announced 2026.\nDUT Studio: Than Trung (2022) — 3-person team, 91% Very Positive Steam, 89K units, $594K+.\n\nCaveat: output overwhelmingly export-oriented; senior talent scarce.\nImages: one game screenshot per studio card.",2x2 grid of studio cards. Each card: image placeholder left (game screenshot) + studio name + game title + headline stat (big red number) + 2-line description. Bottom: 1-line caveat in grey italic.,"Vietnamese studios now ship globally competitive products across mobile publishing scale, blockchain infrastructure, award-winning indie, and culturally grounded narrative titles — though most are built for export markets first.",priority,,Source: Vietnam Game Production Ecosystem_ Evolution.docx
